고객해시,첫방문일,최근방문일,방문횟수,누적결제액,식별채널
cf7f6bfb8ca,2026-05-25,2026-05-25,1,27300,배달재주문
c2f710ff6a9,2026-03-23,2026-08-09,7,139200,POS회원
c66eb5e7496,2026-05-27,2026-07-20,7,154700,POS회원
c9e65adb5f9,2026-05-13,2026-06-24,6,115200,배달재주문
cd5dffc4a3a,2025-11-20,2026-03-25,6,169200,배달재주문
c0d5a4cb2fc,2026-03-28,2026-08-31,6,141900,멤버십
c44d49b6f7d,2026-02-19,2026-02-19,1,21400,예약
c7c4eea1225,2025-11-24,2025-11-24,1,21400,멤버십
cb3c939afc8,2026-03-01,2026-03-01,1,20000,멤버십
ceb438862e9,2026-05-07,2026-05-07,1,27600,예약
c22bdd8a02f,2025-10-02,2025-10-02,1,21100,멤버십
c5a3827ed46,2026-05-20,2026-05-20,1,20200,배달재주문
c91b2762a9f,2026-01-24,2026-01-24,1,22200,POS회원
cc92cc54d37,2025-12-04,2025-12-04,1,21100,배달재주문
c00a715a8d2,2026-02-24,2026-02-24,1,22300,멤버십
c382164897f,2026-04-13,2026-04-28,2,45800,POS회원
c6f9bb3497f,2025-09-22,2026-04-03,4,80500,POS회원
ca71602d197,2026-05-06,2026-05-06,1,27300,배달재주문
cde9051acc9,2026-01-04,2026-06-24,3,70600,예약
c160aa14621,2025-09-14,2025-09-14,1,23200,멤버십
c4d84f04d85,2025-11-20,2026-08-31,4,114600,예약
c84ff3f247e,2025-11-02,2025-11-02,1,25200,예약
cbc798e1ffc,2025-12-02,2025-12-02,1,20900,예약
cf3f3ddf9c3,2026-03-23,2026-08-31,2,38100,예약
c2b6e2d2a08,2025-09-27,2025-09-27,1,27300,POS회원
c62e87ca0c6,2025-11-10,2026-07-28,2,51300,멤버십
c9a62cb815e,2026-02-18,2026-02-18,1,19300,멤버십
cd1dd1ad15a,2026-07-01,2026-07-01,1,27400,배달재주문
c09576ad2d1,2026-03-07,2026-03-07,1,22000,멤버십
c40d1b9c68f,2025-12-17,2025-12-17,1,21400,배달재주문
c784c086872,2026-01-20,2026-08-31,4,99300,멤버십
cafc65741cd,2025-09-03,2025-09-03,1,22500,POS회원
ce740a6a4b1,2026-07-21,2026-07-21,1,27500,예약
c1ebaf65322,2025-10-02,2025-10-02,1,26400,멤버십
c563545e6ae,2025-10-04,2025-10-04,1,26400,POS회원
c8daf9496c9,2025-09-04,2025-09-04,1,19700,멤버십
cc529e3f5dc,2025-09-09,2025-09-09,1,23000,멤버십
cfca4322849,2026-07-11,2026-08-31,8,213900,예약
c341e826775,2026-04-30,2026-04-30,1,20600,예약
c6b98d1fd51,2026-06-02,2026-06-02,1,27300,POS회원
ca313200843,2025-12-08,2025-12-08,1,22500,멤버십
cda8d6fc024,2025-10-07,2026-01-27,8,171100,멤버십
c1207bf3e52,2025-12-04,2025-12-04,1,20800,배달재주문
c49820e9e11,2026-02-06,2026-02-06,1,20400,POS회원
c80fc5d9812,2026-07-18,2026-07-18,1,28000,POS회원
cb876aceeb0,2026-01-17,2026-04-28,4,83700,배달재주문
ceff0fb162a,2026-05-06,2026-05-06,1,23700,배달재주문
c276b4b3c64,2025-10-20,2026-08-08,3,57300,멤버십
c5ee59a48fc,2026-04-06,2026-08-31,3,82200,예약
c965fe93d15,2026-07-19,2026-07-19,1,22500,멤버십
ccdda387ba2,2026-07-14,2026-08-31,9,220100,POS회원
c05548854fe,2025-11-10,2025-11-10,1,19100,예약
c3cced70c03,2026-01-17,2026-01-17,1,28400,POS회원
c7449261486,2025-09-27,2025-09-27,1,28700,예약
cabc3757fe4,2026-06-11,2026-06-11,1,19400,배달재주문
ce33dc4dd8b,2025-11-25,2025-11-25,1,21700,예약
c1ab8143bdc,2026-07-20,2026-07-20,1,24900,멤버십
c52326325e0,2026-05-08,2026-08-31,7,193700,예약
c89acb27fe8,2025-10-27,2025-10-27,1,25900,POS회원
cc12701869d,2025-11-28,2026-06-08,4,84800,멤버십
cf8a150728e,2026-02-03,2026-08-31,5,101800,멤버십
c301ba01b5f,2026-02-23,2026-08-31,4,84700,예약
c6795eff8c6,2026-06-03,2026-08-31,3,65700,배달재주문
c9f103e8a04,2026-04-12,2026-08-31,2,54500,멤버십
cd68a8db591,2025-11-07,2025-11-07,1,27900,POS회원
c0e04dd687d,2025-11-08,2025-11-08,9,215700,예약
c457f2c721f,2026-07-03,2026-07-03,1,22400,예약
c7cf97b49f1,2026-07-10,2026-07-10,1,24300,POS회원
cb473ca0da6,2026-02-20,2026-07-29,5,96800,멤버십
cebee1903aa,2025-09-01,2026-04-30,8,155700,멤버십
c236869cf33,2026-04-01,2026-05-28,8,195600,예약
c5ae2b89e18,2026-06-08,2026-08-31,5,103600,예약
c925d07b2f8,2026-03-13,2026-03-13,1,21100,POS회원
cc9d756f8c0,2026-05-12,2026-05-12,1,27700,배달재주문
c0151a6d731,2025-10-12,2026-07-08,2,41900,예약
c38cbf5f74f,2026-02-07,2026-02-07,1,27000,예약
c704644f89f,2025-10-14,2025-10-14,1,28300,예약
ca7c0932467,2025-09-29,2026-06-02,9,233800,배달재주문
cdf3ae287b2,2025-12-15,2025-12-15,1,27400,멤버십
c16b532964d,2026-05-17,2026-05-17,1,21300,예약
c4e2f81534d,2026-03-21,2026-08-31,3,59000,멤버십
c85a9d065f8,2026-06-30,2026-06-30,1,21400,배달재주문
cbd241f48f0,2025-10-10,2025-10-10,1,20600,예약
cf49e6e552d,2026-01-26,2026-01-26,1,28900,예약
c2c18be906f,2026-04-08,2026-04-08,1,20200,멤버십
c63930df101,2026-03-12,2026-03-12,1,20400,멤버십
c9b0d5c0df8,2026-01-13,2026-01-13,1,24400,멤버십
cd287abdfe1,2026-07-12,2026-07-12,1,25800,POS회원
c0a01fbf979,2026-02-04,2026-02-04,1,24700,POS회원
c417c4adc2d,2026-01-23,2026-01-23,1,25300,배달재주문
c78f699a966,2026-04-10,2026-08-31,5,116300,POS회원
cb070e85a20,2026-01-22,2026-05-06,3,64800,예약
ce7eb372d1c,2026-04-22,2026-08-31,4,81100,POS회원
c1f65876834,2026-01-24,2026-01-24,1,21700,예약
c56dfd6bcdc,2026-01-18,2026-01-18,1,22400,배달재주문
c8e5a2521c6,2026-05-19,2026-07-24,7,187500,POS회원
cc5d474ac07,2026-06-08,2026-06-08,1,22500,예약
cfd4ec36024,2025-11-09,2026-03-12,6,126700,배달재주문
c34c9139105,2026-04-23,2026-08-31,2,50700,POS회원
c6c43620d4b,2026-01-17,2026-01-17,1,22600,멤버십
ca3bdb11c1e,2026-06-13,2026-06-13,1,24700,멤버십
cdb38000c8d,2025-12-12,2025-12-12,1,27400,POS회원
c12b250a326,2026-05-09,2026-05-09,1,21100,예약
c4a2c9f2b73,2025-09-16,2025-09-16,1,25200,POS회원
c81a6ee5ac0,2025-12-28,2025-12-28,1,21200,예약
cb9213d02a9,2026-02-20,2026-02-20,1,19700,예약
cf09b8c328e,2026-06-26,2026-06-26,1,23700,멤버십
c2815dc99d7,2026-07-11,2026-07-11,1,21700,멤버십
c5f902b11f1,2026-07-07,2026-08-31,8,154000,배달재주문
c970a7a5685,2025-12-26,2025-12-26,1,26300,멤버십
cce84c9a147,2025-10-07,2025-10-07,1,25900,멤버십
c05ff1952fc,2026-07-13,2026-07-13,1,22400,멤버십
c3d7968a251,2025-11-22,2026-05-17,8,154200,배달재주문
c74f3b7c4c2,2026-05-18,2026-07-01,6,161900,배달재주문
cac6e06d94b,2026-05-04,2026-05-04,1,27700,예약
ce3e8557a0a,2025-10-11,2026-03-03,8,201000,예약
c1b62a5cc03,2025-11-06,2026-08-21,7,140700,POS회원
c52dcf48694,2025-12-07,2025-12-07,1,25700,POS회원
c8a5743bb35,2025-10-21,2025-10-21,1,19200,POS회원
cc1d19293b3,2026-02-22,2026-08-31,7,184300,POS회원
cf94be1efda,2025-10-29,2025-12-20,5,138900,POS회원
c30c631e7d1,2026-06-03,2026-06-03,1,22400,멤버십
c6840804f4a,2025-11-12,2025-11-12,1,29000,POS회원
c9fbacf94cd,2025-12-15,2025-12-15,1,22600,예약
cd7351ef97d,2025-12-19,2025-12-19,1,27700,POS회원
c0eaf6e6ddc,2025-11-26,2025-11-26,1,19400,POS회원
c4629bd32ca,2026-01-13,2026-08-31,5,109800,멤버십
c7da40cb84f,2025-12-03,2025-12-03,1,27900,예약
cb51e5bbc8d,2026-04-09,2026-04-17,6,137700,POS회원
cec98aa0714,2026-05-12,2026-05-12,1,21600,예약
c2412fa9f00,2025-10-27,2025-10-27,1,27500,배달재주문
c5b8d4967a2,2026-03-15,2026-03-15,1,21700,예약
c930798ef19,2025-09-04,2025-09-04,1,26100,예약
cca81e7aaff,2025-12-03,2025-12-03,1,23000,배달재주문
c01fc3762c9,2025-11-24,2026-04-23,2,55500,배달재주문
c39768682bd,2025-11-19,2026-02-26,6,167700,배달재주문
c70f0d51e6a,2025-12-07,2025-12-07,1,22100,POS회원
ca86b24ad73,2026-04-03,2026-04-03,1,19800,POS회원
cdfe573da5f,2026-06-25,2026-08-31,7,161900,POS회원
c175fc331a1,2026-03-29,2026-08-31,7,147900,배달재주문
c4eda12dfa1,2025-09-07,2025-09-07,1,24500,예약
c8654617b11,2025-10-30,2026-07-08,7,185100,POS회원
cbdceb0a11b,2025-12-30,2026-08-21,8,219800,예약
cf548ffdf2e,2026-05-10,2026-05-10,1,23300,POS회원
c2cc34f4338,2026-03-29,2026-03-29,1,24700,멤버십
c643d9e0774,2025-11-23,2025-11-23,1,24800,멤버십
c9bb7ed12e6,2025-12-11,2025-12-11,1,23800,POS회원
cd3323cd5df,2026-03-12,2026-03-12,1,24100,멤버십
c0aac8c42a4,2026-02-17,2026-08-31,5,138100,멤버십
c4226db0ece,2025-09-19,2026-05-05,9,175700,배달재주문
c79a12a2d51,2026-04-12,2026-08-31,3,85700,POS회원
cb11b796878,2025-12-31,2026-03-25,3,74300,예약
ce895c84fd2,2026-02-10,2026-04-03,6,137400,멤버십
c201018e6d5,2026-01-14,2026-01-14,1,25800,POS회원
c578a67b214,2026-04-13,2026-04-13,1,27300,예약
c8f04b6525c,2025-10-31,2025-10-31,1,25200,POS회원
cc67f054525,2026-03-19,2026-03-19,1,25700,POS회원
cfdf954739c,2026-01-01,2026-01-01,1,20500,배달재주문
c3573a43dd6,2025-09-01,2025-09-01,1,26100,POS회원
c6cedf31683,2026-05-06,2026-08-31,5,123300,배달재주문
ca468422430,2025-12-04,2026-01-17,6,142900,예약
cdbe291e231,2025-10-28,2026-06-29,6,152400,배달재주문
c135ce1c93d,2026-06-15,2026-08-31,2,44400,멤버십
c4ad73041b5,2026-06-14,2026-06-14,1,19800,예약
c82517fc5a3,2025-10-12,2025-10-12,1,28000,예약
cb9cbcec928,2026-05-03,2026-08-31,3,83200,예약
cf1461daf05,2025-12-26,2026-02-08,2,56000,멤버십
c28c06dfe62,2026-04-20,2026-08-31,9,232600,예약
c603abc7b9d,2025-10-20,2026-02-12,8,224000,POS회원
c97b50bf00a,2026-04-02,2026-04-02,1,19500,POS회원
ccf2f5aaa49,2025-10-23,2026-05-31,6,119700,멤버십
c06a9aaa0ee,2025-10-05,2026-06-30,6,117600,예약
c3e23f91b35,2025-10-11,2026-02-07,5,121000,배달재주문
c759e48738e,2026-07-06,2026-07-06,1,20100,POS회원
cad18977b33,2026-07-21,2026-08-31,6,154000,POS회원
ce492e61156,2026-05-30,2026-08-31,8,169400,예약
c1c0d362bb6,2025-09-13,2025-09-13,1,24300,예약
c5387854d8b,2026-05-07,2026-05-07,1,22500,예약
c8b01d4bbff,2025-10-24,2026-04-24,4,101500,멤버십
cc27c235b36,2026-03-13,2026-03-13,1,25400,배달재주문
cf9f67276fb,2026-01-08,2026-01-08,1,21700,POS회원
c3170c20c59,2026-04-09,2026-04-09,1,28400,배달재주문
c68eb111e42,2025-11-02,2026-07-20,2,53000,멤버십
ca0656066d8,2025-09-10,2025-11-23,2,42100,멤버십
cd7dfafb788,2026-04-23,2026-04-23,1,25300,멤버십
c0f59ff504e,2026-02-13,2026-02-13,1,26000,배달재주문
c46d44e4911,2026-01-03,2026-01-03,1,23900,배달재주문
c7e4e9dcb0b,2026-03-12,2026-03-12,1,20500,POS회원
cb5c8ec9a6a,2025-12-07,2025-12-07,1,23500,배달재주문
ced433b283e,2026-05-22,2026-08-31,6,155000,배달재주문
c24bd8b7d94,2025-11-04,2025-11-04,1,22200,배달재주문
c5c37dafdef,2026-01-07,2026-01-07,1,23500,배달재주문
c93b2294d37,2026-04-19,2026-08-31,8,170900,예약
ccb2c786f55,2026-03-06,2026-08-12,3,63400,멤버십
c02a6c8ec58,2026-03-09,2026-03-09,1,24700,멤버십
c3a2117f5a7,2025-09-16,2026-04-19,7,201500,예약
c719b6603c0,2025-11-05,2026-03-31,4,80300,POS회원
ca915b52fd3,2026-07-12,2026-08-31,4,83400,멤버십
ce090047ae8,2026-02-07,2026-05-15,4,101400,POS회원
c180a54f863,2026-01-17,2026-01-17,1,28200,예약
c4f84a3b8e3,2025-12-22,2026-03-26,8,192000,배달재주문
c86fef2d9c1,2026-05-13,2026-05-13,1,22200,예약
cbe7941942e,2025-12-11,2025-12-11,1,28300,멤버십
cf5f3902378,2025-10-09,2025-11-05,7,157600,POS회원
c2d6de049b8,2026-07-09,2026-07-09,1,23800,배달재주문
c64e82fa08e,2026-05-11,2026-07-19,8,192800,예약
c9c627e640f,2026-03-09,2026-03-09,1,19400,배달재주문
cd3dccda9d9,2026-02-26,2026-02-26,1,27800,POS회원
c0b571d35f3,2026-01-22,2026-01-22,1,24100,멤버십
c42d16c7ad5,2025-12-10,2025-12-10,1,23200,POS회원
c7a4bbb7c10,2025-11-11,2026-07-08,5,120500,배달재주문
cb1c60ade46,2025-11-26,2025-11-26,1,21700,POS회원
ce940595052,2026-04-07,2026-06-28,4,87200,예약
c20baa94533,2025-11-09,2025-11-09,1,22900,배달재주문
c5834f8df1f,2025-09-01,2025-09-01,1,24400,멤버십
c8faf4780e2,2026-03-17,2026-03-17,1,28400,POS회원
cc729960968,2026-01-27,2026-01-27,1,23700,배달재주문
cfea3e5be8e,2026-04-14,2026-04-14,1,26600,POS회원
c361e35ca49,2026-02-19,2026-02-19,1,20400,예약
c6d98849d13,2026-06-15,2026-07-31,6,128600,멤버십
ca512d359cc,2026-03-19,2026-04-12,5,114300,배달재주문
cdc8d22a6fe,2026-04-26,2026-04-26,1,21600,멤버십
c1407727178,2025-09-07,2025-09-07,1,21900,POS회원
c4b81c12cc2,2026-02-20,2026-02-20,1,27500,예약
c82fc10ff52,2026-07-11,2026-07-11,1,20100,멤버십
cba765ff75b,2026-05-26,2026-05-26,1,23400,POS회원
cf1f0ae11fd,2026-03-05,2026-03-05,1,25300,배달재주문
c296afe9c00,2025-12-02,2026-08-27,7,180900,POS회원
c60e54db397,2025-12-02,2025-12-02,1,20700,배달재주문
c985f9c8256,2025-11-27,2025-11-27,1,24400,멤버십
ccfd9ebae12,2026-05-13,2026-05-13,1,28600,배달재주문
c07543be8e8,2026-03-26,2026-03-26,1,23300,예약
c3ece8a520f,2026-06-19,2026-06-19,1,21900,배달재주문
c7648d94eff,2026-01-11,2026-01-11,1,22300,멤버십
cadc32869e3,2026-01-08,2026-04-22,5,119300,멤버십
ce53d7796b7,2026-02-13,2026-02-13,1,24300,예약
c1cb7c757bf,2025-10-21,2026-06-04,3,71500,예약
c543216c48b,2026-03-03,2026-08-31,3,86700,POS회원
c8bac654d05,2025-11-04,2025-11-04,1,24000,멤버십
cc326b4bd85,2026-01-07,2026-06-23,8,231100,POS회원
cfaa10376bf,2026-04-29,2026-06-03,7,147200,멤버십
c321b53de30,2026-03-08,2026-03-08,1,28300,POS회원
c6995a2e08a,2026-06-08,2026-06-08,1,21500,예약
ca10ff1ef8c,2025-10-11,2025-10-11,1,19800,멤버십
cd88a4002f9,2025-09-20,2025-09-20,1,28900,배달재주문
c100490848b,2025-09-13,2025-10-20,3,69500,POS회원
c477edfb3c8,2025-09-19,2025-09-19,1,20400,예약
c7ef92e8e56,2026-06-27,2026-08-22,2,42200,예약
cb6737dd835,2025-12-24,2026-08-31,3,83300,멤버십
cededccd703,2025-09-25,2025-09-25,1,26900,멤버십
c25681c7dcf,2026-07-05,2026-07-05,1,19300,POS회원
c5ce26b182b,2025-12-09,2025-12-09,1,28500,POS회원
c945cba8bd6,2025-12-15,2025-12-15,1,20300,POS회원
ccbd70918d4,2026-04-03,2026-04-03,1,24000,배달재주문
c035159e4e4,2026-04-22,2026-04-22,1,28200,멤버십
c3acba8c048,2026-02-01,2026-02-01,1,26200,배달재주문
c7245f7adc6,2025-09-24,2025-09-24,1,24800,POS회원
ca9c0463fa8,2026-04-27,2026-04-27,1,20600,POS회원
ce13a95df4a,2026-05-27,2026-07-27,3,84700,배달재주문
c18b4e56fb9,2026-07-22,2026-07-22,1,23700,예약
c502f3451fd,2025-12-28,2025-12-28,1,24300,POS회원
c87a9833674,2025-09-02,2025-09-02,1,23700,POS회원
cbf23d2ee11,2026-07-24,2026-08-31,3,64300,POS회원
cf69e215d38,2025-09-06,2025-10-23,8,199700,예약
c2e187165a4,2025-10-27,2026-02-18,5,118300,멤버십
c6592c0b2fb,2026-03-12,2026-03-12,1,28300,배달재주문
c9d0d0ffc90,2026-05-20,2026-08-31,8,169800,POS회원
cd4875ee14b,2025-09-14,2026-07-07,6,172200,예약
c0c01ae9090,2025-09-24,2025-09-24,1,28200,예약
c437bfd9d58,2025-11-20,2025-11-20,1,27700,멤버십
c7af64c12a0,2025-09-05,2025-10-05,9,176900,예약
cb2709ba556,2026-04-11,2026-07-05,8,157900,예약
ce9eaeabc34,2025-12-07,2025-12-07,1,23200,멤버십
c21653aa468,2026-01-11,2026-01-11,1,28900,배달재주문
c58df894adb,2026-03-29,2026-03-31,6,142200,예약
c9059d8da99,2026-04-21,2026-04-21,1,25000,멤버십
cc7d42734b8,2025-09-01,2025-09-01,1,20400,예약
cff4e76a887,2026-02-05,2026-08-31,2,57100,예약
c36c8c6f395,2026-07-26,2026-07-26,1,26500,예약
c6e43153a58,2026-02-28,2026-02-28,1,19200,예약
ca5bd64fa8f,2025-10-13,2025-10-13,1,20200,POS회원
cdd37b3af3b,2026-07-13,2026-07-13,1,28200,멤버십
c14b203d415,2026-03-24,2026-08-31,5,126200,POS회원
c4c2c52fe80,2025-11-26,2026-01-01,6,159800,예약
c83a6a1b839,2026-02-02,2026-02-23,6,129100,POS회원
cbb20f0609e,2026-02-23,2026-08-31,6,164400,POS회원
cf29b3f94ff,2025-12-21,2026-05-26,8,156800,POS회원
c2a158f32d9,2026-01-11,2026-08-31,7,167800,멤버십
c618fdeac41,2025-12-16,2025-12-16,1,24000,멤버십
c990a2d35ba,2025-11-16,2025-11-16,1,27100,멤버십
cd0847cddbc,2026-03-16,2026-03-16,1,25700,예약
c07fecc7ef6,2025-12-11,2025-12-11,1,21000,예약
c3f791bb9f9,2026-04-05,2026-04-05,1,19800,POS회원
c76f36ac0bb,2026-06-12,2026-08-22,6,173400,POS회원
cae6db9e4db,2025-12-16,2025-12-16,1,21800,예약
ce5e808a1bb,2026-07-01,2026-07-01,1,26100,예약
c1d6258afb9,2026-07-25,2026-07-25,1,28200,멤버십
c54dca771af,2026-05-20,2026-08-31,8,171400,멤버십
c8c56f67489,2026-07-19,2026-07-19,1,21700,멤버십
cc3d145e7db,2025-10-17,2025-10-17,1,22300,예약
cfb4b94c7cb,2026-04-04,2026-04-04,1,21300,POS회원
c32c5e43782,2025-10-26,2025-10-26,1,20100,멤버십
c6a40338d54,2026-07-25,2026-07-25,1,23000,예약
ca1ba823c20,2025-12-15,2025-12-15,1,20900,POS회원
cd934d111e5,2026-06-19,2026-06-19,1,22900,멤버십
c10af21a9be,2026-05-28,2026-05-28,1,22300,멤버십
c4829704475,2026-01-31,2026-01-31,1,22300,예약
c7fa3bf4202,2026-03-19,2026-03-19,1,26000,배달재주문
cb71e0e809d,2025-12-22,2025-12-22,1,28900,배달재주문
cee985d0dd3,2025-11-24,2026-07-19,3,85800,예약
c2612ad13e3,2026-07-13,2026-08-20,5,144100,배달재주문
c5d8cfcbd48,2026-06-10,2026-06-10,1,19200,예약
c95074b22e8,2025-11-06,2025-11-06,1,21100,멤버십
ccc819a34ac,2026-01-21,2026-06-14,9,206500,예약
c03fbea693f,2026-06-20,2026-06-20,1,24000,배달재주문
c3b76397063,2026-06-27,2026-08-31,7,133900,예약
c72f088f56e,2026-02-17,2026-03-19,9,180900,멤버십
caa6ad7b977,2026-07-12,2026-07-12,1,22900,POS회원
ce1e526eb18,2026-07-02,2026-08-12,6,151800,배달재주문
c195f76b4ea,2026-01-27,2026-01-27,1,26200,예약
c50d9c588a1,2026-07-19,2026-08-27,2,40800,예약
c885414ea93,2026-05-26,2026-05-26,1,27000,배달재주문
cbfce635953,2026-06-12,2026-06-12,1,27500,배달재주문
cf748b2130d,2026-01-18,2026-01-18,1,24400,배달재주문
c2ec302a4e9,2026-04-28,2026-04-28,1,19500,예약
c663d5107fe,2025-09-09,2025-09-09,1,22800,멤버십
c9db7a08c3c,2025-10-23,2026-08-07,6,127700,POS회원
cd531efce88,2026-06-30,2026-07-07,3,84700,멤버십
c0cac3f0770,2026-01-09,2026-01-09,1,27500,배달재주문
c44268ee9e1,2026-06-01,2026-06-01,1,19600,배달재주문
c7ba0dd9880,2025-12-18,2026-05-14,7,182100,POS회원
cb31b2c0d35,2025-09-14,2025-09-14,1,27200,멤버십
cea957b00a3,2025-12-19,2025-12-25,4,111800,멤버십
c220fcbcf21,2025-11-10,2025-11-10,1,28500,배달재주문
c598a1a47e2,2025-09-15,2025-09-15,1,28100,배달재주문
c91046974ac,2025-12-03,2026-08-16,6,148400,멤버십
cc87eb8b6da,2025-10-25,2026-06-16,7,184500,예약
cfff907dcd0,2026-02-22,2026-02-22,1,21800,예약
c3773574d18,2026-02-01,2026-02-01,1,23400,POS회원
c6eeda6eef4,2026-05-20,2026-05-20,1,27300,멤버십
ca667f5cec7,2025-12-08,2026-01-22,4,87000,배달재주문
cdde2441295,2025-11-07,2025-11-07,1,25000,예약
c155c94ca57,2025-09-17,2026-02-05,5,134800,멤버십
c4cd6e39af7,2026-07-13,2026-07-13,1,26700,멤버십
c845132ac17,2026-03-15,2026-03-15,1,19500,멤버십
cbbcb817080,2025-10-21,2026-03-07,3,69100,예약
cf345d072be,2026-07-16,2026-07-16,1,20500,배달재주문
c2ac0202359,2026-01-10,2026-01-10,1,27400,멤버십
c623a6f96f1,2025-11-22,2025-11-22,1,23400,배달재주문
c99b4bec8ce,2026-01-23,2026-08-31,9,185600,예약
cd12f0d34e5,2026-03-04,2026-03-04,1,28100,예약
c08a95d8180,2026-04-26,2026-04-26,1,22500,멤버십
c4023ac8f07,2026-02-28,2026-08-31,9,228000,예약
c779dfb01df,2025-11-27,2025-11-27,1,27500,예약
caf184a26e3,2026-07-19,2026-07-19,1,24900,예약
ce6929993aa,2026-03-16,2026-03-16,1,27900,배달재주문
c1e0ce9e7fc,2026-02-09,2026-02-26,2,54400,예약
c558738734b,2025-12-11,2025-12-11,1,25500,배달재주문
c8d01879286,2025-11-19,2025-12-11,7,182200,POS회원
cc47bd633c7,2026-03-15,2026-03-15,1,28900,배달재주문
cfbf6251868,2026-03-22,2026-03-22,1,19100,배달재주문
c3370757e9c,2026-06-07,2026-06-07,1,21800,POS회원
c6aeac44b7b,2025-10-16,2025-10-16,1,19500,배달재주문
ca26513bff0,2025-10-12,2025-10-12,1,26200,멤버십
cd9df62696c,2026-06-06,2026-08-31,6,157100,배달재주문
c1159b27289,2026-05-06,2026-05-06,1,21800,배달재주문
c48d4010d63,2025-09-12,2026-04-02,3,57500,멤버십
c804e501b01,2026-05-25,2026-05-25,1,23500,배달재주문
cb7c89f340b,2026-02-01,2026-02-01,1,27300,POS회원
cef42ee548d,2026-05-19,2026-08-31,3,84500,예약
c26bd3e12ff,2026-04-21,2026-04-21,1,28800,멤버십
c5e378d6f8b,2026-07-25,2026-07-25,1,25400,POS회원
c95b1dc8a68,2026-06-29,2026-08-31,7,168200,배달재주문
ccd2c2bcca6,2026-05-21,2026-05-21,1,27400,예약
c04a67bc28d,2026-06-19,2026-07-27,4,85800,멤버십
c3c20cad72d,2026-01-01,2026-01-01,1,23000,POS회원
c739b1971d1,2026-04-29,2026-04-29,1,25700,멤버십
cab1568598f,2026-05-07,2026-08-31,5,106800,배달재주문
ce28fb709c4,2026-03-20,2026-03-24,2,54100,멤버십
c1a0a07887f,2025-09-05,2025-09-05,1,22000,배달재주문
c518456fdcf,2025-11-30,2025-11-30,1,21000,멤버십
c88fea522ff,2026-05-25,2026-05-25,1,24600,POS회원
cc078f40b72,2025-12-16,2025-12-24,7,133000,멤버십
cf7f343cbff,2026-05-15,2026-05-15,1,27300,배달재주문
c2f6d931de6,2026-07-07,2026-08-31,2,49900,예약
c66e7e238b7,2026-07-02,2026-07-02,1,23400,배달재주문
c9e6231d15e,2026-06-02,2026-06-02,1,26900,배달재주문
cd5dc800659,2026-06-21,2026-08-31,8,183700,배달재주문
c0d56d062f7,2026-04-29,2026-04-29,1,24600,예약
c44d11fb715,2026-02-01,2026-08-31,8,191000,배달재주문
c7c4b6e6d3f,2026-02-07,2026-02-07,1,28300,예약
cb3c5bde28f,2025-11-17,2025-11-17,1,24000,예약
ceb400c29c3,2025-12-08,2026-01-20,9,239200,POS회원
c22ba5c2c2a,2025-12-13,2026-05-19,6,139000,예약
c5a34ab0e79,2026-03-09,2026-03-09,1,19300,배달재주문
c91aefae854,2026-02-25,2026-02-25,1,24700,배달재주문
cc92949dbba,2025-09-26,2025-12-05,8,159700,POS회원
c00a399b6e0,2026-01-12,2026-01-12,1,25900,멤버십
c381de88c38,2026-03-26,2026-08-31,7,147800,멤버십
c6f9837e7e4,2026-04-13,2026-06-12,3,63800,배달재주문
ca71286f7d2,2025-12-22,2026-01-01,2,47400,POS회원
cde8cd5284c,2026-06-30,2026-07-19,3,60900,멤버십
c1607255b99,2026-05-25,2026-05-25,1,28100,배달재주문
c4d817416c9,2025-11-28,2026-02-17,9,230300,배달재주문
c84fbc35e70,2026-02-24,2026-02-24,1,19900,배달재주문
cbc7612b53c,2025-11-06,2025-11-06,1,26300,예약
cf3f061edae,2025-12-29,2025-12-29,1,20500,POS회원
c2b6ab17e9b,2026-07-02,2026-07-02,1,28500,예약
c62e5005bad,2026-05-17,2026-05-17,1,28200,배달재주문
c9a5f4f212d,2026-06-01,2026-06-01,1,19700,POS회원
cd1d99e67c0,2026-06-03,2026-06-03,1,20100,배달재주문
c0953ee9e85,2026-01-24,2026-05-17,4,107000,멤버십
c40ce3d0cee,2025-10-13,2026-02-14,5,139700,POS회원
c78488ccb11,2026-03-07,2026-03-07,1,21600,멤버십
cafc2dbd4da,2025-11-04,2025-11-04,1,23400,멤버십
ce73d2a1f3e,2026-07-25,2026-07-25,1,25000,배달재주문
c1eb77a7068,2026-06-25,2026-06-25,1,24700,멤버십
c5631c9ac13,2026-04-29,2026-04-29,1,23500,배달재주문
c8dac187364,2026-07-14,2026-07-14,1,19500,배달재주문
cc526679aae,2026-05-05,2026-05-05,1,26200,배달재주문
cfca0b68bd8,2026-02-01,2026-06-26,7,190200,예약
c341b06a3a7,2026-01-31,2026-02-04,3,76800,배달재주문
c6b95557b4d,2026-01-26,2026-07-18,9,193700,예약
ca30fa4476e,2026-01-08,2026-01-08,1,19700,멤버십
cda89f35808,2026-02-12,2026-02-12,1,28300,POS회원
c1204437937,2026-05-17,2026-05-17,1,22600,멤버십
c497e92996f,2025-11-06,2026-02-13,2,43400,POS회원
c80f8e117eb,2025-11-08,2025-11-08,1,20600,POS회원
cb873303ca5,2025-10-16,2025-10-16,1,22700,멤버십
